driver_race	location_variable	num_stops	num_searches	num_hits
Hispanic	408	4	1	0
Hispanic	409	5	0	0
Hispanic	410	183	12	1
Hispanic	411	98	5	1
Hispanic	412	38	1	0
Hispanic	413	71	0	0
Hispanic	414	27	3	2
Hispanic	415	200	14	2
Hispanic	416	76	4	2
Hispanic	417	25	4	0
Hispanic	418	2	0	0
Hispanic	419	19	3	0
Hispanic	422	1	0	0
Hispanic	423	3	0	0
Hispanic	424	35	0	0
Hispanic	430	147	75	12
Hispanic	431	37	14	3
Hispanic	434	1	1	0
Hispanic	435	94	39	7
Hispanic	436	51	16	2
Hispanic	437	4	3	1
Hispanic	438	9	7	1
Hispanic	439	7	2	1
Hispanic	440	2	0	0
Hispanic	441	6	3	0
Hispanic	443	1	0	0
Hispanic	502	14	3	1
Hispanic	503	19	2	0
Hispanic	504	6	1	0
Hispanic	505	3	0	0
Hispanic	507	26	6	0
Hispanic	508	16	1	0
Hispanic	509	21	0	0
Hispanic	510	35	4	1
Hispanic	511	52	3	0
Hispanic	512	13	1	1
Hispanic	513	182	38	17
Hispanic	514	102	18	4
Hispanic	515	18	7	2
Hispanic	516	68	7	1
Hispanic	518	229	15	2
Hispanic	519	220	23	6
Hispanic	520	45	5	0
Hispanic	521	7	2	0
Hispanic	522	12	2	0
Hispanic	523	18	3	0
Hispanic	524	11	3	0
Hispanic	525	9	3	0
Hispanic	526	10	1	0
Hispanic	527	11	1	0
Hispanic	528	126	24	6
Hispanic	529	85	18	4
Hispanic	530	31	9	1
Hispanic	531	38	6	2
Hispanic	532	26	10	5
Hispanic	533	167	42	5
Hispanic	534	5	0	0
Hispanic	539	1	0	0
Hispanic	540	1	0	0
Hispanic	551	108	15	7
Hispanic	552	28	8	2
Hispanic	553	63	7	3
Hispanic	554	128	25	6
Hispanic	555	7	2	1
Hispanic	556	51	13	2
Hispanic	557	78	23	4
Hispanic	558	21	4	1
Hispanic	559	16	3	2
Hispanic	560	4	0	0
Hispanic	561	14	0	0
Hispanic	563	5	2	0
Hispanic	564	1	0	0
Hispanic	601	96	33	4
Hispanic	602	309	84	15
Hispanic	603	127	28	8
Hispanic	604	56	19	4
Hispanic	605	16	2	0
Hispanic	606	32	12	2
Hispanic	607	37	16	3
Hispanic	609	8	2	0
Hispanic	610	3	0	0
Hispanic	611	9	2	0
Hispanic	613	5	1	0
Hispanic	614	35	7	2
Hispanic	615	79	18	4
Hispanic	616	55	9	2
Hispanic	617	21	2	0
Hispanic	618	21	8	5
Hispanic	619	1	0	0
Hispanic	621	69	25	5
Hispanic	622	40	9	2
Hispanic	623	24	5	2
Hispanic	624	87	19	4
Hispanic	625	49	9	3
Hispanic	626	58	7	4
Hispanic	627	34	0	0
Hispanic	628	146	30	11
Hispanic	629	243	60	20
Hispanic	631	13	2	0
Hispanic	632	87	18	5
Hispanic	633	125	25	4
Hispanic	634	5	2	0
Hispanic	635	9	4	1
Hispanic	638	2	1	0
Hispanic	639	11	2	0
Hispanic	700	20	5	2
Hispanic	701	62	13	4
Hispanic	702	413	85	12
Hispanic	703	120	26	10
Hispanic	704	96	19	3
